,country,founded,id,industry,linkedin_url,locality,name,region,size,website
53754,australia,1979.0,scifleettoyota,automotive,linkedin.com/company/scifleettoyota,kedron,sci-fleet toyota,queensland,501-1000,scifleettoyota.com.au
54111,australia,,ufc-gym-australia,"health, wellness and fitness",linkedin.com/company/ufc-gym-australia,sydney,ufc gym australia,new south wales,201-500,ufcgym.com.au
54628,australia,1958.0,beyond-bank-australia,banking,linkedin.com/company/beyond-bank-australia,adelaide,beyond bank australia,south australia,501-1000,beyondbank.com.au
55209,australia,1929.0,canberra-grammar-school,education management,linkedin.com/company/canberra-grammar-school,,canberra grammar school,act,201-500,cgs.act.edu.au
55807,australia,2010.0,doninion-hotels,hospitality,linkedin.com/company/doninion-hotels,,dominion hotels,,201-500,dominionhotels.com.au
56508,australia,,mcaleese-group,logistics and supply chain,linkedin.com/company/mcaleese-group,melbourne,mcaleese group,victoria,1001-5000,mcaleese.com.au
56673,australia,2001.0,brisbane-seniors-online,non-profit organization management,linkedin.com/company/brisbane-seniors-online,brisbane,brisbane seniors online,queensland,1001-5000,bsol.asn.au
58263,australia,,asset-protection-systems-p-l,security and investigations,linkedin.com/company/asset-protection-systems-p-l,,asset protection systems pty. ltd.,,201-500,assetpro.com.au
58980,australia,,curtinuniversity,higher education,linkedin.com/company/curtinuniversity,bentley,curtin university,western australia,5001-10000,curtin.edu.au
59397,australia,1982.0,driveline-services-australia,wholesale,linkedin.com/company/driveline-services-australia,acacia ridge,driveline services australia,queensland,201-500,driveline.com.au
61153,australia,1975.0,merri-community-health-services,hospital & health care,linkedin.com/company/merri-community-health-services,,merri health,,201-500,mchs.org.au
62508,australia,1991.0,sydney-city-toyota,automotive,linkedin.com/company/sydney-city-toyota,,sydney city toyota,,201-500,sydneycitytoyota.com.au
63136,australia,2014.0,federation-training,education management,linkedin.com/company/federation-training,newborough,federation training,victoria,201-500,federationtraining.edu.au
63349,australia,2011.0,au-mobile-business-directory,information technology and services,linkedin.com/company/au-mobile-business-directory,,au mobile business directory,,201-500,aumobilebusinessdirectory.com
63969,new zealand,,2degreesnz,telecommunications,linkedin.com/company/2degreesnz,newmarket,2degrees mobile,auckland,1001-5000,2degrees.nz
64185,new zealand,1989.0,eap-services,mental health care,linkedin.com/company/eap-services,auckland,eap services limited,auckland,201-500,eapservices.co.nz
64490,new zealand,1987.0,advanced-personnel-services-ltd,staffing and recruiting,linkedin.com/company/advanced-personnel-services-ltd,christchurch,advanced personnel services ltd,canterbury,501-1000,advancedpersonnel.co.nz
65060,australia,,academies-australasia,education management,linkedin.com/company/academies-australasia,,academies australasia,,501-1000,academies.edu.au
65164,new zealand,1997.0,euro-corporation-ltd-,building materials,linkedin.com/company/euro-corporation-ltd-,auckland,euro corporation ltd.,auckland,201-500,eurocorp.co.nz
66024,australia,1994.0,aware-environmental-ltd,cosmetics,linkedin.com/company/aware-environmental-ltd,,aware environmental ltd,victoria,201-500,awaregroup.com.au
66097,australia,2000.0,ereports,medical practice,linkedin.com/company/ereports,,ereports,,201-500,ereports.com.au
66799,new zealand,,golden-bay-cement,construction,linkedin.com/company/golden-bay-cement,,golden bay cement,,201-500,goldenbay.co.nz
66881,new zealand,1984.0,compac-sorting-equipment,mechanical or industrial engineering,linkedin.com/company/compac-sorting-equipment,onehunga,compac,auckland,1001-5000,compacsort.com
67024,australia,2018.0,universal-apps-menumiz,information technology and services,linkedin.com/company/universal-apps-menumiz,,universal apps (menumiz),queensland,201-500,menumiz.com
67093,australia,1953.0,ego-pharmaceuticals,pharmaceuticals,linkedin.com/company/ego-pharmaceuticals,braeside,ego pharmaceuticals,queensland,201-500,egopharm.com
68725,australia,1975.0,auto-masters,automotive,linkedin.com/company/auto-masters,ardross,auto masters,western australia,501-1000,automasters.com.au
68914,australia,1966.0,murrays-coaches,transportation/trucking/railroad,linkedin.com/company/murrays-coaches,,murrays australia,act,201-500,murrays.com.au
70972,australia,2014.0,southern-ports-authority,maritime,linkedin.com/company/southern-ports-authority,perth,southern ports authority,western australia,201-500,southernports.com.au
71704,australia,1991.0,aidapt-australia,hospital & health care,linkedin.com/company/aidapt-australia,,aidapt australia,,201-500,aidapt.com.au
72359,australia,1953.0,kilcoy-pastoral-company-limited,food production,linkedin.com/company/kilcoy-pastoral-company-limited,kilcoy,kilcoy pastoral company limited,queensland,501-1000,kpc.com.au
72658,australia,1994.0,gmp-pharmaceuticals-ltd,consumer goods,linkedin.com/company/gmp-pharmaceuticals-ltd,huntingwood,gmp pharmaceuticals ltd,new south wales,501-1000,gmp.com.au
74376,new zealand,1876.0,whakatane-district-council,government relations,linkedin.com/company/whakatane-district-council,,whakatane district council,bay of plenty,201-500,whakatane.govt.nz
76041,australia,,arise-hotels-and-apartments,hospitality,linkedin.com/company/arise-hotels-and-apartments,brisbane,arise hotels and apartments,queensland,201-500,arisehotels.com.au
76433,new zealand,,the-national-partnership-tnp-,financial services,linkedin.com/company/the-national-partnership-tnp-,,the national partnership (tnp),,201-500,tnpnz.co.nz
77254,australia,1948.0,australian-antarctic-division,government administration,linkedin.com/company/australian-antarctic-division,kingston,australian antarctic division,tasmania,201-500,antarctica.gov.au
77907,new zealand,,zuruedge,consumer goods,linkedin.com/company/zuruedge,auckland,zuru edge,auckland,1001-5000,zuruedge.com
80523,australia,1946.0,cua---credit-union-australia-limited,banking,linkedin.com/company/cua---credit-union-australia-limited,brisbane,cua - credit union australia limited,queensland,501-1000,cua.com.au
80711,new zealand,1887.0,university-of-auckland-debating-society,political organization,linkedin.com/company/university-of-auckland-debating-society,,university of auckland debating society,,501-1000,debating.co.nz
