index,name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,glassdoor_url,glassdoor_reviews,total_reviews,correct,scores,valid_urls,linkedin_bool
133242,aveo group,hospital & health care,new south wales,1001-5000,2001.0,linkedin.com/company/aveogroup,https://au.indeed.com/cmp/Aveo-Group/reviews,5,https://www.seek.com.au/companies/aveo-group-436327/reviews,69,https://www.glassdoor.com.au/Reviews/Aveo-Group-Reviews-E1642993.htm,0,74,Unknown,"[[0.57, 0.72, 0.33, 0, 0, 0, 0], [0.75, 0, 0, 0, 0, 0, 0], [0.77, 0.72, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Aveo/reviews', 'https://au.indeed.com/cmp/Aveo-Group/reviews', 'https://au.indeed.com/cmp/Aveo-Retirement-Villages/reviews'], 'seek': ['https://www.seek.com.au/companies/aveo-group-436327/reviews'], 'glassdoor': []}",2
136666,cirka,facilities services,,1001-5000,1988.0,linkedin.com/company/cirka1,https://au.indeed.com/cmp/Cirka-1/reviews,6,,0,https://www.glassdoor.com.au/Reviews/Cirka-Reviews-E3678508.htm,0,6,Unknown,"[[0.75, 0, 0, 0, 0, 0.45, 0], [0, 0, 0.24, 0], [0.85, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Cirka-1/reviews', 'https://www.indeed.com/cmp/Circa/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews'], 'glassdoor': []}",2
141393,urban maintenance systems,facilities services,victoria,1001-5000,1995.0,linkedin.com/company/urban-maintenance-systems,https://au.indeed.com/cmp/Urban-Maintenance-Systems/reviews,9,,0,https://www.glassdoor.com.au/Reviews/Urban-Maintenance-Systems-Reviews-E2931283.htm,0,9,Unknown,"[[0.85, 0, 0], [0, 0, 0], [0.85, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Urban-Maintenance-Systems/reviews'], 'seek': [], 'glassdoor': []}",2
155898,district 73 toastmasters,education management,,1001-5000,,linkedin.com/company/toastmasters-district-73,,0,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0.38, 0, 0], [0, 0.29, 0, 0, 0], [0, 0.33, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Toastmasters-International/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews'], 'glassdoor': []}",2
158690,fuji xerox australia,information technology and services,,1001-5000,1960.0,linkedin.com/company/fuji-xerox-australia,https://au.indeed.com/cmp/Fujifilm/reviews,81,https://www.seek.com.au/companies/fuji-xerox-australia-432747/reviews,95,https://www.glassdoor.com.au/Reviews/Fuji-Xerox-Australia-Reviews-E322447.htm,0,176,Unknown,"[[0.46, 0.44, 0, 0, 0, 0, 0], [0.82, 0, 0, 0, 0, 0, 0], [0.81, 0.76, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Fujifilm/reviews', 'https://au.indeed.com/cmp/Xerox/reviews'], 'seek': ['https://www.seek.com.au/companies/fuji-xerox-australia-432747/reviews'], 'glassdoor': []}",2
163606,monash health,hospital & health care,victoria,10001+,1860.0,linkedin.com/company/monash-health,https://au.indeed.com/cmp/Monash-Health/reviews,76,https://www.seek.com.au/companies/monash-health-432874/reviews,125,https://www.glassdoor.com.au/Reviews/Monash-Health-Reviews-E138060.htm,0,201,Unknown,"[[0.83, 0, 0, 0, 0, 0, 0], [0.8, 0, 0], [0.83, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Monash-Health/reviews'], 'seek': ['https://www.seek.com.au/companies/monash-health-432874/reviews'], 'glassdoor': []}",2
166263,uniting church in australia,religious institutions,,1001-5000,1977.0,linkedin.com/company/uniting-church-in-australia,https://au.indeed.com/cmp/Uniting-Church-in-Australia/reviews,6,https://www.seek.com.au/companies/uniting-church-in-australia-813929/reviews,10,https://www.glassdoor.com.au/Reviews/The-Uniting-Church-in-Australia-Synod-of-Victoria-and-Tasmania-Reviews-E650758.htm,0,16,Unknown,"[[0.83, 0.6, 0, 0, 0, 0, 0], [0.84, 0, 0], [0, 0, 0.19, 0.45, 0.3, 0.26, 0]]","{'indeed': ['https://au.indeed.com/cmp/Uniting-Church-in-Australia/reviews', 'https://au.indeed.com/cmp/Uniting-Church/reviews'], 'seek': ['https://www.seek.com.au/companies/uniting-church-in-australia-813929/reviews'], 'glassdoor': []}",2
170121,maurice blackburn lawyers,law practice,,1001-5000,1919.0,linkedin.com/company/maurice-blackburn-lawyers,,0,https://www.seek.com.au/companies/maurice-blackburn-lawyers-434536/reviews,54,,0,54,Unknown,"[[0, 0, 0], [0.86, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/maurice-blackburn-lawyers-434536/reviews'], 'glassdoor': []}",2
174849,general pants co.,retail,new south wales,1001-5000,1972.0,linkedin.com/company/general-pants-group,https://au.indeed.com/cmp/General-Pants-Co/reviews,48,https://www.seek.com.au/companies/general-pants-co-434151/reviews,52,,0,100,Unknown,"[[0.75, 0, 0, 0, 0], [0.77, 0, 0], [0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/General-Pants-Co/reviews'], 'seek': ['https://www.seek.com.au/companies/general-pants-co-434151/reviews'], 'glassdoor': []}",2
175645,emirates leisure retail australia & nz (elra/nz),food & beverages,victoria,1001-5000,2009.0,linkedin.com/company/elra-nz,,0,,0,,0,0,Unknown,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","{'indeed': [], 'seek': [], 'glassdoor': []}",2
